Usuario/Equipo,Repositorio,Title,Description,Status,Tags,Classification,URL,Unnamed: 8,llm_pred,Explanation
chipi-hub-team,chipi-hub,feat :Change button name in datasets upload to zendoo,"Issue: Change button name in datasets upload to zenodo Description As a user, I want to have a change a  name of a button for understanding purpose Acceptance Criteria - Change a name for better understanding Priority: **Low** *Justification* M3 dynamic Urgency: **Low** *Justification* M3 dynamic",closed,enhancement,Other,https://github.com/chipi-hub-team/chipi-hub/issues/46,,Other,The bug report describes a request to change the name of a button for better understanding. This is an enhancement request related to the user interface and does not involve any configuration issues.
chipi-hub-team,chipi-hub,chore: Release 1.1.0,"Create a new release Description Create the second release of the project. Priority: **High** *Justification*:  This issue is related to a core aspect of continuous integration, releases, so it needs to be done Urgency: **Critical** *Justification*: This issue marks the need of publishing a release, so this issue cannot be left in the ""To do"" much time",closed,configuration,Configuration,https://github.com/chipi-hub-team/chipi-hub/issues/44,,Configuration,"The bug report is tagged as 'configuration' and relates to the release process, which often involves configuration settings for CI/CD pipelines and deployment."
chipi-hub-team,chipi-hub,System doesn't let upload a uvl file,"Description: The `fakenodo` module is not functioning properly in the production environment, throwing a connection error when accessing the `/zenodo/test` endpoint. Steps to Reproduce: 1. Open a console 2. Run the application 3.  Try to create a dataset 4. Upload a UVL file Expected Behavior: The service should leave the user upload a uvl file Observed Behavior: The service doesn't work as it should and indicates that the uvl file is not valid Priority: **High** *Justification*: This issue directly impacts in the correct opearation of the platform Urgency: **Critical** *Justification*: This is a blocking issue that prevents the use of the module in the production environment, affecting project timelines.",closed,"bug, configuration",Configuration,https://github.com/chipi-hub-team/chipi-hub/issues/43,,Configuration,"The bug report indicates a connection error with the `fakenodo` module in the production environment, suggesting a misconfiguration or incorrect environment settings rather than a code defect. The tags also include 'configuration'."
chipi-hub-team,chipi-hub,Migration doesn't work right,"Description: The `flask db migrate` command fails due to multiple heads in Alembic and an issue where migration revisions are not being found. Steps to Reproduce: 1. Open a console and navigate to the project directory. 2. Run the following command to initialize the database migration: ```bash flask db migrate ``` 3. Observe the error in the terminal output. Expected Behavior: The flask db migrate command should detect schema changes and generate a new migration file without issues. Observed Behavior: An error occurs indicating there are multiple heads in Alembic, and it cannot locate specific migration revisions. Priority: **High** *Justification*: This issue blocks database schema migrations, preventing further development and deployment of features that depend on database changes. Urgency: **Critical** *Justification*: The inability to migrate the database schema halts project progress and can introduce inconsistencies in the development and production environments.",closed,"bug, configuration",Configuration,https://github.com/chipi-hub-team/chipi-hub/issues/41,,Configuration,"The bug report describes issues with database migrations using Flask and Alembic, indicating problems with the Alembic configuration or migration history. The error message about 'multiple heads' and missing revisions suggests a misconfiguration of the migration setup rather than a code defect."
chipi-hub-team,chipi-hub,fix: Change download all datasets feature,"Description The download all datasets feature currently downloads every dataset in uvlhub. After the implementation of the staging area feature, there are now some datasets that are unpublished and should only be accessible to certain users, so they should not be included included in the zip when downloading all datasets. Priority **High** *Justification*: This issue in the download all datasets feature clashes with the purpose of the staging area. Urgency **Critical** *Justification*: Makes some datasets accessible to users that should not be allowed to access to that information.",closed,enhancement,Other,https://github.com/chipi-hub-team/chipi-hub/issues/39,,Configuration,"The bug report describes an issue where the 'download all datasets' feature includes unpublished datasets, which should not be accessible to all users. This relates to the configuration of dataset visibility and access control, rather than a code defect. The problem arises from how the system is configured to handle dataset permissions in relation to the download feature."
chipi-hub-team,chipi-hub,Error when migrating because of multiple Alembic heads and missing revisions,"Description: The `flask db migrate` command fails due to multiple heads in Alembic and an issue where migration revisions are not being found. Steps to Reproduce: 1. Open a console and navigate to the project directory. 2. Run the following command to initialize the database migration: ```bash flask db migrate ``` 3. Observe the error in the terminal output. Expected Behavior: The flask db migrate command should detect schema changes and generate a new migration file without issues. Observed Behavior: An error occurs indicating there are multiple heads in Alembic, and it cannot locate specific migration revisions. Priority: **High** *Justification*: This issue blocks database schema migrations, preventing further development and deployment of features that depend on database changes. Urgency: **Critical** *Justification*: The inability to migrate the database schema halts project progress and can introduce inconsistencies in the development and production environments.",closed,"bug, configuration",Configuration,https://github.com/chipi-hub-team/chipi-hub/issues/38,,Configuration,"The bug report describes an issue with Alembic migrations, specifically multiple heads and missing revisions, which are configuration-related problems rather than code defects. The `flask db migrate` command failing points to a misconfiguration in the database migration setup."
chipi-hub-team,chipi-hub,chore: Release 1.0.0,"Create a new release Description Create the first release of the project. Priority: **High** *Justification*:  This issue is related to a core aspect of continuous integration, releases, so it needs to be done Urgency: **Critical** *Justification*: This issue marks the need of publishing a release, so this issue cannot be left in the ""To do"" much time",closed,configuration,Configuration,https://github.com/chipi-hub-team/chipi-hub/issues/35,,Configuration,"The bug report is tagged as 'configuration' and relates to the release process, which often involves configuration settings for CI/CD pipelines and deployment."
chipi-hub-team,chipi-hub,Wiki creation and adittion of information,"Creation of the wiki Description The project Wiki must be done and filled with the corresponding documentation Priority: **High** *Justification*: This issue is related to various project deliverables, needs to be done ASAP Urgency: **Critical** *Justification*: The wiki contains various deliverables so it needs to be completed and polished before the deadline",closed,documentation,Other,https://github.com/chipi-hub-team/chipi-hub/issues/34,,Other,"The bug report describes a task to create and populate a project wiki with documentation. It does not mention any configuration files, settings, or deployment issues. Therefore, it is not a configuration bug."
chipi-hub-team,chipi-hub,Build Tests from the Stagging Area WI fail,"Description: In the pull request related to the Staging Area WI, the checks related to the unit testing fail, the thing is that it only appears to give that outcome if the application isn't running, so in the local environment, all unit tests pass. Steps to Reproduce: 1. Go to GitHub 2. Check the pull requests 3. Wait to see the  performed actions results 4. check that the 2 build tests return errors Expected Behavior: The tests should pass Observed Behavior: The tests fail in the build of the pull request, while in local all tests passed Priority: **High** *Justification*: This issue blocks the continuation of the proccess of integrating the changes made in the WI to the master branch Urgency: **Critical** *Justification*: This is a blocking issue that prevents the use of the module in the production environment, affecting project timelines. Additional information: Not needed",closed,bug,Other,https://github.com/chipi-hub-team/chipi-hub/issues/33,,Configuration,"The bug report indicates that unit tests fail in the staging environment but pass locally. This suggests a configuration issue in the staging environment, such as missing dependencies, incorrect environment variables, or differences in the build process compared to the local environment. The issue is not directly related to code defects but rather to the environment setup."
chipi-hub-team,chipi-hub,Codacy Static Analisys in Stagging Area WI gives 2 alerts,"Description: The codacy static analisys done in the pull request has encountered 2 warnings: 1. The existence of a ""Try, Except, Continue"" structure. 2. The use of a pseudo-random generator in the locust test Steps to Reproduce: 1. Go to gitHub 2. Check the pull requests 3. Wait to see the  performed actions results 4. check that the Codacy Static Analisys gives warnings Expected Behavior: The codacy analisys shouldn't give any warning, it should pass Observed Behavior: 2 warnings are given in the analisys result Priority: **High** *Justification*: This issue blocks the continuation of the proccess of integrating the changes made in the WI to the master branch Urgency: **Critical** *Justification*: This is a blocking issue that prevents the use of the module in the production environment, affecting project timelines. Additional information: Not needed",closed,bug,Other,https://github.com/chipi-hub-team/chipi-hub/issues/31,,Other,"The bug report describes warnings from a static analysis tool (Codacy) related to code structure and the use of a pseudo-random generator. These issues are code-related, not configuration-related. Therefore, it's not a configuration bug."
